"sim_ID","frag","ac","hab","nb","disp","disp_dist","edge"
230,0.5,0.1,0.15,0.1,1,3.5,0.8
231,0.6,0.1,0.15,0.1,1,3.5,0.8
232,0.7,0.1,0.15,0.1,1,3.5,0.8
233,0.8,0.1,0.15,0.1,1,3.5,0.8
234,0.9,0.1,0.15,0.1,1,3.5,0.8
235,0.1,0.1,0.15,0.1,1,4,0.8
236,0.2,0.1,0.15,0.1,1,4,0.8
237,0.3,0.1,0.15,0.1,1,4,0.8
238,0.4,0.1,0.15,0.1,1,4,0.8
239,0.5,0.1,0.15,0.1,1,4,0.8
240,0.6,0.1,0.15,0.1,1,4,0.8
241,0.7,0.1,0.15,0.1,1,4,0.8
242,0.8,0.1,0.15,0.1,1,4,0.8
243,0.9,0.1,0.15,0.1,1,4,0.8
244,0.1,0.1,0.15,0.1,1,4.5,0.8
245,0.2,0.1,0.15,0.1,1,4.5,0.8
246,0.3,0.1,0.15,0.1,1,4.5,0.8
247,0.4,0.1,0.15,0.1,1,4.5,0.8
248,0.5,0.1,0.15,0.1,1,4.5,0.8
249,0.6,0.1,0.15,0.1,1,4.5,0.8
250,0.7,0.1,0.15,0.1,1,4.5,0.8
251,0.8,0.1,0.15,0.1,1,4.5,0.8
252,0.9,0.1,0.15,0.1,1,4.5,0.8
253,0.1,0.1,0.15,0.1,1,5,0.8
254,0.2,0.1,0.15,0.1,1,5,0.8
255,0.3,0.1,0.15,0.1,1,5,0.8
256,0.4,0.1,0.15,0.1,1,5,0.8
257,0.5,0.1,0.15,0.1,1,5,0.8
258,0.6,0.1,0.15,0.1,1,5,0.8
259,0.7,0.1,0.15,0.1,1,5,0.8
260,0.8,0.1,0.15,0.1,1,5,0.8
261,0.9,0.1,0.15,0.1,1,5,0.8
262,0.1,0.1,0.15,0.1,1,5.5,0.8
263,0.2,0.1,0.15,0.1,1,5.5,0.8
264,0.3,0.1,0.15,0.1,1,5.5,0.8
265,0.4,0.1,0.15,0.1,1,5.5,0.8
266,0.5,0.1,0.15,0.1,1,5.5,0.8
267,0.6,0.1,0.15,0.1,1,5.5,0.8
268,0.7,0.1,0.15,0.1,1,5.5,0.8
269,0.8,0.1,0.15,0.1,1,5.5,0.8
270,0.9,0.1,0.15,0.1,1,5.5,0.8
271,0.1,0.1,0.15,0.1,1,1,0.9
272,0.2,0.1,0.15,0.1,1,1,0.9
273,0.3,0.1,0.15,0.1,1,1,0.9
274,0.4,0.1,0.15,0.1,1,1,0.9
275,0.5,0.1,0.15,0.1,1,1,0.9
276,0.6,0.1,0.15,0.1,1,1,0.9
277,0.7,0.1,0.15,0.1,1,1,0.9
278,0.8,0.1,0.15,0.1,1,1,0.9
279,0.9,0.1,0.15,0.1,1,1,0.9
280,0.1,0.1,0.15,0.1,1,1.5,0.9
281,0.2,0.1,0.15,0.1,1,1.5,0.9
282,0.3,0.1,0.15,0.1,1,1.5,0.9
283,0.4,0.1,0.15,0.1,1,1.5,0.9
284,0.5,0.1,0.15,0.1,1,1.5,0.9
285,0.6,0.1,0.15,0.1,1,1.5,0.9
286,0.7,0.1,0.15,0.1,1,1.5,0.9
287,0.8,0.1,0.15,0.1,1,1.5,0.9
288,0.9,0.1,0.15,0.1,1,1.5,0.9
289,0.1,0.1,0.15,0.1,1,2,0.9
290,0.2,0.1,0.15,0.1,1,2,0.9
291,0.3,0.1,0.15,0.1,1,2,0.9
292,0.4,0.1,0.15,0.1,1,2,0.9
293,0.5,0.1,0.15,0.1,1,2,0.9
294,0.6,0.1,0.15,0.1,1,2,0.9
295,0.7,0.1,0.15,0.1,1,2,0.9
296,0.8,0.1,0.15,0.1,1,2,0.9
297,0.9,0.1,0.15,0.1,1,2,0.9
298,0.1,0.1,0.15,0.1,1,2.5,0.9
299,0.2,0.1,0.15,0.1,1,2.5,0.9
300,0.3,0.1,0.15,0.1,1,2.5,0.9
301,0.4,0.1,0.15,0.1,1,2.5,0.9
302,0.5,0.1,0.15,0.1,1,2.5,0.9
303,0.6,0.1,0.15,0.1,1,2.5,0.9
304,0.7,0.1,0.15,0.1,1,2.5,0.9
305,0.8,0.1,0.15,0.1,1,2.5,0.9
306,0.9,0.1,0.15,0.1,1,2.5,0.9
307,0.1,0.1,0.15,0.1,1,3,0.9
308,0.2,0.1,0.15,0.1,1,3,0.9
309,0.3,0.1,0.15,0.1,1,3,0.9
310,0.4,0.1,0.15,0.1,1,3,0.9
311,0.5,0.1,0.15,0.1,1,3,0.9
312,0.6,0.1,0.15,0.1,1,3,0.9
313,0.7,0.1,0.15,0.1,1,3,0.9
314,0.8,0.1,0.15,0.1,1,3,0.9
315,0.9,0.1,0.15,0.1,1,3,0.9
316,0.1,0.1,0.15,0.1,1,3.5,0.9
317,0.2,0.1,0.15,0.1,1,3.5,0.9
318,0.3,0.1,0.15,0.1,1,3.5,0.9
319,0.4,0.1,0.15,0.1,1,3.5,0.9
320,0.5,0.1,0.15,0.1,1,3.5,0.9
321,0.6,0.1,0.15,0.1,1,3.5,0.9
322,0.7,0.1,0.15,0.1,1,3.5,0.9
323,0.8,0.1,0.15,0.1,1,3.5,0.9
324,0.9,0.1,0.15,0.1,1,3.5,0.9
325,0.1,0.1,0.15,0.1,1,4,0.9
326,0.2,0.1,0.15,0.1,1,4,0.9
